"Data Source","مؤشرات التنمية العالمية",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"النمسا","AUT","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1566864","1591647","1615511","1640796","1669908","1702165","1734910","1770419","1801100","1822857","1835769","1840231","1838054","1826900","1802605","1766122","1723301","1683462","1640041","1593504","1549231","1511937","1473669","1434631","1400817","1370721","1350296","1327219","1306500","1296431","1299884","1314644","1342729","1374321","1397371","1408227","1408301","1397122","1378290","1360628","1348118","1335267","1329418","1326404","1322536","1314129","1303282","1285491","1265159","1246028","1230814","1218637","1211102","1208730","1211372","1220347","1238043","1251975","1264013","1274912","",
"أذربيجان","AZE","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1539915","1641352","1747738","1852902","1948593","2029476","2108567","2167099","2209296","2242329","2269673","2284475","2296300","2301984","2296943","2280265","2261604","2233869","2201125","2170352","2146218","2132289","2127156","2131158","2143690","2164440","2205401","2253213","2304369","2355532","2376970","2433109","2482334","2526352","2560824","2583156","2588333","2583913","2569472","2543307","2506956","2447675","2386791","2324231","2261750","2201139","2157436","2112775","2091700","2080991","2067587","2073578","2095964","2130775","2169867","2207180","2257698","2294774","2322882","2349658","",
"بوروندي","BDI","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1226082","1258476","1293759","1330522","1366337","1400453","1445588","1487966","1526271","1558757","1583419","1612022","1631881","1646327","1661032","1680860","1706857","1738149","1774553","1814644","1857677","1920157","1982977","2048463","2118815","2194251","2279754","2366856","2452720","2533251","2605954","2708685","2802128","2885043","2955602","3012085","3056254","3089005","3116607","3148956","3194025","3225883","3271074","3327423","3391092","3459861","3539176","3622554","3711775","3809291","3916194","4046742","4183300","4325972","4473611","4624915","4778514","4932304","5084985","5234958","",
"بلجيكا","BEL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2152022","2183767","2201944","2217487","2235830","2255517","2271761","2282094","2286057","2284219","2274388","2256954","2244711","2228512","2206840","2178235","2146830","2107896","2064865","2023102","1985822","1947635","1915000","1887639","1862681","1839379","1822790","1806380","1795317","1788982","1786760","1785479","1791023","1800753","1809334","1813396","1815393","1813600","1808163","1803235","1800715","1793891","1792686","1793534","1794736","1797090","1803471","1810116","1817723","1826821","1839474","1867534","1881300","1892011","1902944","1917082","1928234","1937926","1948932","1958973","",
"بنن","BEN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","936953","961012","986661","1013773","1041577","1069666","1102195","1134183","1165997","1198097","1230723","1269618","1307904","1346101","1384812","1424488","1470727","1517330","1564487","1612243","1660675","1716351","1771685","1827308","1883912","1941922","2006667","2071568","2137820","2206870","2279696","2358177","2439013","2520955","2601746","2679594","2768200","2852634","2934502","3016163","3099205","3189377","3279679","3369818","3459120","3547183","3645955","3743590","3840419","3936904","4033508","4138620","4242292","4345219","4448214","4551582","4660439","4768301","4875137","4980737","",
"بوركينا فاصو","BFA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1995469","2037325","2075294","2111130","2147082","2184553","2235290","2286592","2337905","2387774","2435323","2497192","2554535","2609314","2664540","2722076","2795877","2871718","2949561","3028904","3109929","3209353","3307232","3405104","3504492","3605473","3719360","3831974","3943632","4054199","4163498","4284235","4403230","4520777","4637390","4753740","4889184","5022508","5155611","5290719","5429017","5588070","5747331","5908218","6072270","6240652","6432259","6625598","6820777","7016930","7213255","7426962","7636326","7842956","8048634","8253725","8463152","8671820","8877936","9079149","",
"بنغلاديش","BGD","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","20191455","20947867","21671635","22397038","23173279","24022966","25002465","26044374","27086364","28020522","28766145","29437113","29972419","30427285","30908605","31496442","32285653","33107532","33957457","34800023","35606524","36502638","37327291","38108558","38885488","39675640","40506749","41325442","42109536","42818993","43429145","44049205","44571297","45015756","45414574","45787205","46152070","46481967","46770563","47005228","47178537","47444708","47643898","47771562","47819590","47778952","47785913","47703689","47557752","47384234","47204865","46901370","46623884","46354523","46066409","45748817","45421456","45066367","44705340","44371978","",
"بلغاريا","BGR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2052880","2052648","2041894","2023925","2005898","1988976","1975104","1962785","1954153","1947928","1940601","1937336","1933896","1933608","1938512","1941777","1949972","1959747","1960724","1960299","1962711","1966707","1965264","1959491","1952209","1939945","1916486","1901312","1885678","1839794","1773939","1728625","1670487","1609670","1556269","1505548","1453730","1406293","1362480","1320939","1279448","1215328","1153920","1112193","1074867","1042873","1027063","1013805","1004468","999719","998134","1003998","1008330","1012555","1018130","1024567","1020446","1022102","1025337","1024417","",
"البحرين","BHR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","67071","71410","75493","79627","83879","87953","89000","90067","91392","93100","95253","96826","98036","99444","101752","105331","108368","112479","117106","121295","124424","127754","130719","133618","136877","140736","145470","150038","154612","158831","162121","165350","167286","168382","169235","170497","174159","177886","183108","190593","200319","202749","206204","211442","218872","228376","231845","237590","244225","249523","252038","260175","265255","269740","276233","286027","290718","296447","302185","307206","",
"جزر البهاما","BHS","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","46430","48843","51545","54498","57574","60616","63025","65259","67369","69427","71418","72056","73090","74328","75435","76272","77095","77285","77166","77264","77863","77913","78849","80254","81452","82087","83030","83100","82717","82595","83112","83427","84639","86272","87515","87925","88653","88478","87772","87246","87350","87496","88118","89082","90171","91315","92151","93332","94458","95202","95422","94992","93957","92507","91025","89773","88258","87324","86711","85981","",
