"Data Source","مؤشرات التنمية العالمية",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"منطقة اليورو","EMU","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","66718355","67559657","68258037","68855182","69425740","70005609","70677674","71185417","71589453","71916782","72078330","72045300","72022158","71871102","71537078","71019143","70296947","69420781","68429239","67350207","66231298","65168680","64025347","62856137","61717585","60658300","59818993","59015753","58287247","57667370","57130398","56703321","56329550","55966985","55553633","55109804","54610718","54122837","53628502","53171255","52778018","52459889","52202653","52000744","51851543","51732802","51760522","51845941","51934225","51927137","51837648","51734488","51721748","51695446","51658104","51617233","51573315","51531616","51509805","51461898","",
"إريتريا","ERI","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","437718","450245","461288","471760","482950","495401","511171","527630","544491","561086","577126","595871","613635","630836","648055","665613","685636","705595","725711","746258","767480","791720","815814","839991","864678","889958","922489","955550","985807","1008432","1020051","1041733","1055251","1063011","1068811","1075302","1061776","1048318","1038484","1037200","1047869","1044472","1052504","1066782","1080873","1091534","1128441","1161854","1192699","1222587","1251793","1291399","","","","","","","","","",
"إسبانيا","ESP","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","8333672","8454129","8546476","8624436","8723637","8849326","8962511","9108708","9267929","9388844","9505914","9589801","9663308","9728666","9779171","9812853","9853020","9864012","9845241","9799543","9727915","9644422","9521780","9366684","9192202","9004403","8762151","8532334","8299852","8046977","7771321","7531089","7293122","7053723","6827207","6624202","6458064","6303956","6168293","6057073","5978403","5928270","5953907","6031670","6122016","6219106","6389665","6575946","6742615","6844776","6890323","6985679","7004343","6964215","6928257","6923218","6863553","6850761","6863827","6862322","",
"إستونيا","EST","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","279864","283764","287378","290067","292293","294027","295542","295818","296407","297631","299435","301604","304141","306507","308220","309045","311891","313743","315071","316652","319434","321673","325365","329746","333807","337286","341298","345167","348131","349491","348094","344538","334250","320078","307222","296183","281700","269854","259661","252717","245631","236513","227505","218805","211230","205340","202113","200084","199595","200254","201494","203654","205397","207042","209082","212181","212246","213705","216237","218400","",
"إثيوبيا","ETH","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","9626870","9873599","10116133","10359537","10607858","10862147","11188845","11501790","11813954","12142451","12497375","12936931","13401474","13863649","14278387","14612876","14874686","15079756","15272199","15515402","15855968","16364001","16923270","17522220","18136763","18751707","19411551","20066498","20734631","21434288","22172371","23051333","23949653","24851340","25732858","26573734","27467876","28321306","29146560","29958537","30769879","31728415","32671355","33612525","34557652","35493947","36345061","37161979","37937051","38671529","39378225","40027758","40670317","41302710","41921499","42527398","43224191","43890859","44545032","45208571","",
"الاتحاد الأوروبي","EUU","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","93003476","93881298","94467811","94848111","95173701","95479249","95795428","96095454","96321687","96419350","96263187","96098081","95883492","95522781","95090413","94642935","94068244","93470488","92819501","92038880","91128373","90305539","89288342","88150840","87022827","85982602","85024520","84160890","83365086","82553804","81688104","80940363","80105118","79259837","78365511","77443855","76399861","75411818","74444817","73498187","72508771","71551630","70685008","69955653","69330853","68804626","68546087","68398708","68319523","68205703","68003865","67886842","67804934","67703125","67638708","67636573","67542265","67572835","67677619","67714108","",
"هشة والحالات المتأثرة بالصراعات","FCS","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","77335015","79568872","81848980","84155203","86437781","88677698","91354004","93939501","96473407","99008084","101571345","104580492","107538024","110502873","113544807","116710181","120365881","124090094","127823863","131459127","134907446","138791107","142459375","145956936","149355086","152708236","156493270","160140300","163753860","167469746","172347116","176658468","181117517","185617743","189981783","194073060","198610357","202875546","206958803","211080610","215397656","220490435","225682157","230976944","236345738","241757759","247850644","253926298","260007940","266107103","272216849","278503440","284749507","290889881","296826069","302499040","308461918","314092403","319540394","325035677","",
"فنلندا","FIN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1346904","1340730","1322226","1295828","1267130","1239562","1218271","1200735","1183607","1160711","1133868","1109657","1090435","1071334","1053296","1036590","1017296","1003511","992865","981766","970080","967682","962045","955518","951558","951100","948502","949812","953800","958424","962711","965161","969287","972655","973638","971220","971519","965202","955090","945547","938755","927562","921765","918729","915164","909636","905638","900027","893845","888958","886165","888376","891049","894254","897097","898350","897595","895149","890492","884152","",
"فيجي","FJI","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","190148","196683","202788","208424","213471","217689","221296","224058","226014","227248","227882","229419","230473","231100","231430","231599","234894","238059","241313","245039","249494","254722","260657","267134","273293","278054","280193","280699","280184","279698","280069","280472","281706","283099","283827","283549","285304","285822","285552","284989","284109","276549","269516","262860","256538","250871","251349","251534","251248","250472","249351","250745","252000","253676","256119","259265","259497","260178","260739","260700","",
"فرنسا","FRA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","12290068","12506013","12632438","12686263","12715051","12742608","12801230","12831350","12849188","12867690","12893407","12912229","12953957","12996982","13004307","12954947","12907528","12789368","12629160","12478393","12367154","12219937","12152419","12128763","12091956","12016009","12007218","11930951","11822440","11736214","11694424","11648233","11643715","11660900","11665259","11646006","11616047","11582790","11544253","11519631","11516741","11560114","11589483","11611206","11641681","11684235","11757021","11830508","11902096","11964879","12015681","12080460","12138462","12188810","12218166","12213213","12174167","12109023","12024710","11938107","",
"جزر فارو","FRO","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"ولايات ميكرونيزيا الموحدة","FSM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","20225","20979","21868","22830","23768","24643","25583","26483","27272","27877","28247","28713","28968","29136","29418","29979","30472","31235","32228","33353","34523","35450","36458","37457","38339","39052","39926","40571","41106","41722","42509","43513","44686","45802","46578","46852","46638","46099","45265","44297","43340","43034","42675","42277","41806","41236","40123","39082","38127","37317","36725","36318","36013","35822","35735","35716","35633","35643","35715","35801","",
"غابون","GAB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","155266","158379","161507","164803","168463","172626","178037","183754","189724","195783","201814","209700","217211","224593","232156","240096","248741","257712","266941","276292","285704","295902","306068","316302","326766","337533","349202","360952","372777","384625","396415","408798","421002","432927","444393","455278","466070","476246","485871","495036","503818","511999","519984","528157","537052","547112","555710","565656","577429","591461","607967","625221","644380","665157","686592","707650","734653","760312","784680","807755","",
"المملكة المتحدة","GBR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","12133551","12299220","12407100","12468457","12542544","12664101","12853460","13032783","13201157","13343284","13451800","13503556","13525349","13491466","13386121","13212419","12986814","12720479","12425031","12126425","11838533","11575587","11329711","11121933","10957654","10831087","10797527","10767882","10759649","10789419","10857602","10922197","11015255","11122231","11220677","11292175","11313861","11309759","11286166","11251817","11208652","11141187","11058658","10971756","10900812","10858761","10847629","10865439","10903174","10942419","10981280","11102455","11180989","11244242","11326012","11431700","11540882","11649486","11748914","11826816","",
"جورجيا","GEO","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1042848","1084391","1126023","1165683","1200765","1229309","1249452","1261319","1266608","1268296","1267274","1257618","1248377","1237389","1224939","1209354","1196043","1180304","1162845","1149100","1140248","1136622","1137115","1141661","1148564","1157618","1169949","1181738","1195501","1198895","1193788","1193277","1188922","1175354","1124815","1044415","995785","949961","911548","878771","848926","821875","797965","776237","757676","742467","723238","708006","698024","687033","679901","679725","680739","685890","695082","706549","717565","728046","737679","745246","",
"غانا","GHA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2927870","3035108","3135209","3231389","3328940","3429084","3556658","3683178","3809312","3935196","4061650","4194574","4327882","4456383","4572983","4672830","4790057","4890326","4981567","5076478","5184702","5286362","5400767","5524873","5653274","5782361","5930105","6077296","6225430","6376189","6530231","6703300","6873095","7039836","7203565","7363354","7534752","7705416","7872633","8032571","8184335","8341348","8485500","8623180","8764428","8915026","9069965","9234685","9404719","9572714","9735036","9922519","10104930","10283493","10460255","10636090","10829605","11013749","11191260","11365593","",
"جبل طارق","GIB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"غينيا","GIN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1411759","1446018","1482708","1519670","1553006","1580944","1616207","1645314","1669607","1691562","1712539","1748218","1781840","1813962","1844911","1875197","1920553","1965080","2010188","2057595","2108557","2166487","2226230","2289181","2356887","2430230","2512947","2598584","2685957","2772699","2856778","2959767","3057975","3152454","3244947","3336305","3443279","3547779","3648152","3741713","3826397","3926071","4016469","4100156","4181565","4264254","4350769","4439847","4530144","4619437","4706231","4792533","4876339","4960588","5050073","5148298","5240549","5339689","5443700","5549105","",
"غامبيا","GMB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","154999","158285","160947","163331","165892","168946","173873","179080","184589","190224","195874","203067","209950","216806","223952","231550","240538","249857","259360","268666","277575","288197","297851","307609","318963","332848","348266","365638","384211","402349","418848","441009","461257","480211","498822","517627","538797","559490","579941","600209","620270","639597","658994","678260","697021","715075","734611","753336","771628","790174","809544","832480","855748","879475","903671","928286","955365","982433","1009373","1035975","",
"غينيا-بيساو","GNB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","247079","250474","254182","257936","261222","263967","268397","272018","275257","278758","282793","288976","295516","301923","307401","311441","317438","322052","326386","332056","340253","349376","360678","373405","386256","398288","411251","422653","432976","442991","453101","463922","474737","485126","494428","502356","512635","521357","529187","537082","545567","554342","563503","572993","582684","592647","604619","616787","629406","642742","656936","673426","690192","707223","724362","741394","759290","776707","793567","809739","",
"غينيا الاستوائية","GNQ","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","95871","97940","100165","102518","104927","107410","110858","114443","117468","118856","117753","116287","112504","107296","102124","98147","94664","92373","91716","93211","97442","104293","113361","123881","134396","143581","153098","160835","167309","173494","180056","185921","192384","199203","205933","212430","218718","224880","231335","238473","246407","254997","263894","273656","284568","296632","308533","321063","334554","348782","363324","378541","393292","408213","423411","438538","455063","470538","485847","501129","",
"اليونان","GRC","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2278855","2304478","2302775","2282446","2266279","2265766","2257295","2268659","2286962","2295951","2292333","2296051","2290209","2271023","2251671","2252452","2257236","2266314","2279655","2287235","2280111","2284877","2271801","2250644","2226047","2199040","2165996","2127864","2084672","2039802","2003171","1966528","1926656","1885325","1839401","1788609","1760349","1725083","1688347","1654178","1629581","1619969","1615342","1614737","1616378","1618266","1628385","1641432","1656127","1668694","1674313","1671338","1652358","1624733","1598531","1575504","1546920","1527681","1510250","1489204","",
"غرينادا","GRD","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","44133","45159","45849","46297","46657","46977","47116","47146","47062","46853","46522","44701","43205","41946","40711","39358","38427","37218","36045","35414","35593","35513","36090","37028","37800","38053","38351","38192","37752","37419","37468","37358","37532","37855","38121","38170","37648","37050","36312","35398","34341","33289","32169","31102","30190","29428","28619","27863","27088","26267","25462","25435","25312","25224","25275","25472","25617","25905","26260","26564","",
"غرينلاند","GRL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"غواتيمالا","GTM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1896453","1962349","2030966","2099680","2164312","2222884","2286837","2344393","2396820","2446893","2496406","2557775","2617844","2677418","2737172","2797257","2870088","2944705","3021634","3101536","3184945","3279066","3375608","3472959","3569975","3665953","3766162","3863348","3958290","4053276","4149562","4244537","4343935","4443332","4538166","4627400","4721742","4806540","4887783","4972793","5068189","5155158","5244761","5330874","5407935","5471523","5523575","5558300","5579990","5596826","5613469","5616824","5625926","5637286","5643141","5640337","5644136","5638784","5629137","5622012","",
"غوام","GUM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","26714","27221","27657","28163","28773","29423","30034","30577","31216","31953","32704","32876","33031","33304","33723","34244","34519","34769","35043","35381","35803","35986","36253","36602","37006","37440","37715","37976","38250","38562","38972","40123","41380","42693","43944","45011","45961","46662","47101","47316","47354","47478","47469","47344","47103","46739","46295","45733","45101","44456","43848","43204","42639","42146","41710","41328","41063","40796","40553","40375","",
"غيانا","GUY","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","266209","277020","287162","296395","304458","311131","316784","321580","325557","328907","331869","331371","330787","330456","330710","331603","332209","333322","333955","333194","330671","326039","321005","315702","309863","303169","295993","287663","279295","272629","268707","267231","268312","271016","273546","274692","272762","269723","266838","265547","266245","266487","268068","270061","271198","270779","265473","259384","252852","246684","241443","237080","233381","230289","227581","225106","223398","221522","219792","218626","",
"البلدان مرتفعة الدخل","HIC","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","225917088","229217496","231206412","232514272","233587063","234564838","235586220","236288082","236683948","237361118","237623360","237579981","237364541","236792759","236228956","235229439","234233668","232797581","231045025","229339337","227727169","226215225","224942420","223779347","222520100","221145185","220419921","219443503","218381474","217510222","216936204","216875607","216311095","216463446","216358754","216380223","215973726","215173595","214127244","213087081","212132542","210740830","209571117","208518095","207507839","206464445","206053552","205639748","205338739","204959579","204486257","204200349","203805918","203323637","202993025","202824687","202755246","202853699","202999198","202992292","",
"منطقة هونغ كونغ الإدارية الخاصة الخاضعة للصين","HKG","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1249725","1296506","1350456","1387809","1408576","1430231","1435959","1454464","1458418","1449261","1448798","1436374","1424099","1424482","1423134","1394962","1363677","1322668","1281636","1292419","1276986","1274601","1272119","1277363","1277877","1277566","1263174","1244162","1223172","1206206","1182061","1164872","1151275","1148708","1150207","1145745","1180200","1164598","1147519","1134950","1123898","1093742","1063826","1029265","1005133","977563","942054","913576","886233","858223","837899","823533","811579","798293","798744","814260","821526","848214","886736","925415","",
"ھندوراس","HND","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","943815","978277","1012825","1047245","1081056","1114161","1151103","1187415","1223382","1259355","1295503","1336289","1375975","1415633","1456600","1499579","1545934","1594601","1644784","1695033","1744551","1798038","1849821","1900728","1951981","2004052","2057761","2111872","2166184","2220098","2273244","2325422","2377163","2428865","2481473","2535704","2591438","2648921","2706825","2762881","2815398","2868876","2915080","2955641","2993001","3027976","3055531","3082140","3105088","3120255","3125793","3126647","3118414","3103703","3087490","3073079","3059403","3049823","3043164","3036834","",
"البلدان الفقيرة المثقلة بالديون","HPC","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","69828231","71887371","73921659","75952273","77991817","80048143","82565313","85027990","87465166","89906091","92365483","95276199","98148977","101001054","103844569","106686601","109946551","113186189","116417308","119636021","122832488","126551100","130172443","133748315","137346868","141023090","145248148","149459121","153715028","158070884","162558199","167557345","172623823","177704748","182700900","187527593","193039196","198348653","203565945","208844716","214291946","220393578","226577446","232839266","239138598","245429567","252201499","258904730","265573262","272255928","278990969","285964935","292886922","299769801","306623714","313449797","320504010","327487425","334377724","341139620","",
"كرواتيا","HRV","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1138961","1139373","1135388","1126613","1114818","1101978","1090749","1075632","1058435","1041680","1026194","1012226","1003225","997673","992832","987285","986174","982005","976484","971596","968479","965718","969284","974979","978569","978455","978462","974175","966299","956414","945405","915643","881356","873392","870242","852061","825488","811192","803201","791849","773996","736247","720898","702127","686518","678023","665949","663618","666979","668110","663326","660206","650045","635970","622675","611245","602421","595501","593225","592318","",
"ھايتي","HTI","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1557143","1598252","1643248","1689773","1733461","1771938","1815028","1852006","1883989","1912919","1939651","1969698","1996857","2022728","2049464","2078921","2114954","2155787","2201270","2251358","2306402","2375599","2448933","2525495","2603004","2679023","2762527","2838116","2908201","2975956","3042261","3099187","3157704","3213608","3261110","3297918","3332663","3357154","3374338","3389694","3406395","3426780","3447301","3468346","3489313","3509768","3530655","3551402","3571655","3590801","3608361","3625809","3641563","3655390","3667106","3676554","3685868","3692760","3697593","3700888","",
"ھنغاريا","HUN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2528737","2498971","2473032","2446820","2414980","2373332","2322869","2278243","2235667","2194104","2152620","2142402","2121340","2100891","2099121","2123599","2152545","2207983","2275690","2330040","2357770","2390516","2385588","2355358","2324751","2307662","2254824","2232731","2224086","2181634","2117760","2093626","2040902","1972677","1911919","1868173","1828820","1797389","1771889","1745953","1718373","1679831","1648556","1621196","1594161","1565188","1557193","1542070","1521766","1502440","1485993","1467689","1448884","1436939","1428024","1422182","1410375","1406752","1408854","1410118","",
"البنك الدولي فقط","IBD","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","755447740","767763997","787412203","812085807","834369403","853662983","875663569","893268568","908622156","924346464","941251547","960808084","979294505","996924278","1012713779","1025723017","1037609708","1047041598","1054836693","1061701718","1067953414","1074098721","1081538345","1089172092","1096421188","1103970789","1116002178","1128378771","1140654453","1151897007","1161236366","1173839459","1181080801","1184978260","1188170749","1191681581","1188528104","1189170440","1190509383","1188148016","1180451827","1175125693","1164327006","1150497179","1137852089","1128678173","1121753712","1117747452","1116300843","1115893802","1115471073","1116540655","1117754348","1119123728","1120686104","1122300941","1124037372","1125591704","1126423841","1126260990","",
"البنك الدولي للإنشاء والمؤسسة الدولية للتنمية","IBT","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","915139184","932545142","957270708","987054753","1014504791","1039026352","1067138567","1090793953","1112129847","1133723948","1156337597","1182221364","1206862917","1230557834","1252444428","1271673479","1290696083","1307229166","1322162445","1336253139","1349831488","1364338367","1380091361","1396034390","1411615163","1427531645","1448980432","1470606508","1492011918","1512303430","1530646136","1552960452","1569700753","1582832099","1594949426","1607067058","1613468103","1623282954","1633454766","1639651227","1640392607","1644567523","1643040952","1638357001","1634851676","1634860790","1637952603","1643970630","1652522286","1662007916","1671402951","1682598986","1693577957","1704551682","1715695718","1726961274","1738836649","1750471434","1761335985","1771154588","",
"مجموعه المؤسسة الدولية للتنمية","IDA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","159691444","164781145","169858505","174968946","180135388","185363369","191474998","197525385","203507691","209377484","215086050","221413280","227568412","233633556","239730649","245950462","253086375","260187568","267325752","274551421","281878074","290239646","298553016","306862298","315193975","323560856","332978254","342227737","351357465","360406423","369409770","379120993","388619952","397853839","406778677","415385477","424939999","434112514","442945383","451503211","459940780","469441830","478713946","487859822","496999587","506182617","516198891","526223178","536221443","546114114","555931878","566058331","575823609","585427954","595009614","604660333","614799277","624879730","634912144","644893598","",
"مزيج المؤسسة الدولية للتنمية","IDB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","49374560","50964055","52555345","54170647","55828550","57532565","59483131","61440768","63407424","65376866","67344351","69464577","71579952","73712188","75891170","78144719","80676742","83226893","85815902","88463202","91172092","94207603","97255404","100323434","103410126","106507684","109955588","113375424","116740756","120008122","123188849","126608427","129852923","132940121","135913031","138821767","141946852","145003382","147942647","150696608","153325541","156274156","159057025","161742873","164444779","167241514","170376871","173602582","176909984","180261966","183729450","187547521","191232434","194906543","198589038","202274572","206193451","210036152","213796690","217456452","",
"إندونيسيا","IDN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","35049086","36473563","37914014","39375078","40851038","42330646","43854850","45382146","46879303","48303560","49633816","51025782","52290178","53451331","54552332","55616314","56722999","57774238","58771109","59710293","60593102","61519052","62386379","63179576","63871770","64443064","65031094","65453033","65743270","65957331","66127294","66245740","66373936","66468720","66459248","66312128","66185557","65908451","65534955","65174534","64918712","65297401","65784552","66358960","66979642","67618157","67697354","67957692","68391142","68992010","69716213","69917419","70249315","70601139","70843840","70928717","71228234","71229180","71067847","70944816","",
"المؤسسة الدولية للتنمية فقط","IDX","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","110316884","113817090","117303160","120798299","124306838","127830804","131991867","136084617","140100267","144000618","147741699","151948703","155988460","159921368","163839479","167805743","172409633","176960675","181509850","186088219","190705982","196032043","201297612","206538864","211783849","217053172","223022666","228852313","234616709","240398301","246220921","252512566","258767029","264913718","270865646","276563710","282993147","289109132","295002736","300806603","306615239","313167674","319656921","326116949","332554808","338941103","345822020","352620596","359311459","365852148","372202428","378510810","384591175","390521411","396420576","402385761","408605826","414843578","421115454","427437146","",
"جزيرة مان","IMN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"الهند","IND","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","182270643","187176691","192519783","197983197","203051190","207482203","212274844","216312897","219862302","223383971","227147671","231635539","236214691","240844887","245375871","249728336","254937708","259824353","264544438","269331989","274325593","280243739","286325514","292449087","298375131","303956109","310441835","316268767","321598338","326660933","331545788","336594426","341378976","345826026","349805827","353275739","356859179","359978014","362650372","364939728","366904765","369374967","371381359","373029802","374453954","375719594","377329653","378748574","379864849","380433169","380285235","380043299","378833499","376921353","374759010","372623069","369967745","367846040","365927649","363716694","",
"غير مصنفة","INX","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"أيرلندا","IRL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","874875","872894","875771","879906","883206","885741","887794","889025","889979","894288","904190","912066","927953","947822","967488","984438","1002947","1014891","1024291","1032809","1040777","1048964","1057426","1063702","1065844","1058126","1049162","1034875","1012071","988423","970115","949976","933397","916154","897137","878071","861271","846207","832339","821855","816744","813151","813474","816853","825387","840275","865763","896186","921422","937539","947864","965520","980882","995438","1011187","1028445","1034539","1038553","1041918","1045134","",
"جمهورية إيران الإسلامية","IRN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","9361333","9726750","10109851","10492590","10848231","11165263","11499776","11793284","12058130","12315236","12577084","12873732","13172294","13483660","13819347","14190176","14612706","15073302","15584873","16170487","16851782","17706668","18636882","19619874","20617661","21593794","22646620","23629377","24497904","25195819","25676106","26002283","26101809","26012536","25790869","25475728","24928604","24352756","23730406","23039984","22287873","21532350","20761097","20010916","19334599","18761903","18373807","18062957","17850504","17742763","17735659","17771744","17899323","18112411","18398374","18744298","19121500","19561693","20021891","20442140","",
"العراق","IRQ","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","3021822","3104048","3233366","3389913","3542295","3677773","3836580","3979456","4115622","4261549","4424274","4616238","4808658","5004961","5206023","5410455","5610515","5820897","6030539","6224419","6394988","6582789","6748305","6895807","7035264","7172427","7323082","7476250","7634143","7799458","7976419","8138100","8308948","8491495","8689667","8904656","9121083","9355005","9600256","9846772","10087898","10361647","10629052","10882623","11112887","11312733","11525479","11710258","11895241","12125179","12434038","12678200","13000840","13363992","13706096","13983680","14315215","14560891","14753339","14945944","",
"أيسلندا","ISL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","61260","62755","63945","64882","65693","66377","66990","67425","67569","67314","66729","66144","66085","66073","65883","65507","65153","64450","63666","63091","62758","62629","62825","63157","63323","63239","63144","63186","63476","63612","63565","63921","64519","65029","65349","65293","65357","65219","65033","64996","65251","65186","65254","65356","65454","65815","66613","67394","67685","67031","66144","66176","66220","66482","66858","67198","67572","68644","69953","70988","",
"إسرائيل","ISR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","771161","794984","832212","859402","885986","904635","916465","940937","943041","952629","974620","998825","1023049","1067295","1101212","1125889","1158949","1189038","1215789","1248643","1280627","1306359","1332027","1356812","1372323","1390951","1401153","1411049","1420080","1428464","1456477","1526374","1555974","1571983","1588048","1607881","1635220","1664777","1694195","1729234","1765867","1806012","1838308","1866568","1896560","1930051","1951568","1977982","2007206","2048970","2078457","2129027","2179403","2230054","2281902","2334787","2386758","2434901","2480544","2524564","",
"إيطاليا","ITA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","12586782","12642172","12665521","12680337","12726399","12807411","12919325","13019530","13107606","13189604","13267612","13295466","13351549","13415599","13435960","13388952","13315304","13158083","12933641","12675264","12401401","12092277","11787436","11480763","11161225","10828647","10517635","10199775","9889280","9601440","9344252","9138485","8956036","8797699","8655699","8526746","8427291","8340901","8263135","8198797","8156572","8114478","8102241","8129899","8179124","8212477","8246196","8286180","8328946","8346864","8345544","8351741","8346070","8397465","8413319","8329425","8248168","8157364","8053687","7939152","",
"جامايكا","JAM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","675161","692113","709056","725142","740198","754825","776730","799893","823180","845361","865589","877534","887432","894639","898898","900343","888195","876566","867042","861132","859130","859695","862587","865802","866614","863562","862200","856726","849546","844337","842997","840335","841175","844270","847332","849184","850563","851897","852959","853634","853467","851128","846546","840269","833138","825498","813008","800728","787830","773818","759216","747935","737186","727318","718652","711161","706329","701420","697031","693766","",
"الأردن","JOR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","406262","427435","446300","466345","492723","529143","577546","632704","690882","745771","792046","840338","882333","918406","949781","977950","1022364","1059640","1092917","1126859","1164720","1196982","1236675","1280745","1324681","1366699","1415926","1460892","1507493","1563485","1632101","1678130","1736408","1796416","1844259","1872302","1925888","1961995","1985953","2006450","2029214","2050677","2074377","2104288","2145882","2204963","2282744","2372913","2476616","2593463","2721449","2859933","3002043","3137953","3252779","3333811","3387133","3411584","3409485","3390355","",
"اليابان","JPN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","27994280","27921821","27291381","26643440","26051560","25576728","25283042","25039200","24736401","24994945","25161726","25404367","25845063","26233695","26874647","27321646","27615407","27735791","27684528","27598271","27542350","27218602","27033093","26890710","26611400","26134491","25709579","25054309","24263084","23496769","22823568","22207529","21663142","21194581","20777834","20379439","19991722","19649841","19346340","19043944","18752313","18537284","18309332","18083961","17858252","17670854","17499393","17391195","17304542","17208544","17103469","17009491","16901251","16779297","16649583","16514831","16400528","16246827","16065209","15875329","",
